"image path","(minimum r, minimum c, maximum r, maximum c, label)"
"/storage/hpc/group/kazic-lab/NN/malaria/images/24115f58-a7d6-4022-a95a-86b515a78d3e.png","[(873, 882, 958, 965, 1), (282, 218, 373, 321, 1), (761, 229, 857, 326, 1)]"
"/storage/hpc/group/kazic-lab/NN/malaria/images/7624ac36-1cf9-42fb-844d-376078309553.png","[(793, 536, 942, 692, 1)]"
"/storage/hpc/group/kazic-lab/NN/malaria/images/795d0331-da56-4d45-a58a-54803408ffd9.png","[(904, 268, 1035, 412, 3)]"
"/storage/hpc/group/kazic-lab/NN/malaria/images/9ebd623d-5534-4dd9-bff8-cdedf322db35.png","[(1208, 997, 1336, 1116, 4), (801, 187, 923, 310, 1)]"
"/storage/hpc/group/kazic-lab/NN/malaria/images/22cbf509-c9bf-46ec-bfce-f079c6b76c8c.png","[(866, 222, 1012, 368, 3), (551, 786, 752, 949, 1)]"
"/storage/hpc/group/kazic-lab/NN/malaria/images/ca677c3c-083f-4d54-9dec-39f79f6a17d8.png","[(333, 816, 465, 934, 5), (1204, 864, 1322, 997, 4), (584, 595, 714, 705, 5), (1113, 504, 1237, 652, 4), (890, 101, 1038, 210, 1), (278, 428, 404, 569, 1)]"
"/storage/hpc/group/kazic-lab/NN/malaria/images/0e0bc36f-6fb2-4763-b0a1-b4c67b2d2d2a.jpg","[(858, 955, 1012, 1125, 1), (728, 921, 889, 1084, 6)]"
"/storage/hpc/group/kazic-lab/NN/malaria/images/b634137b-bc8b-4e88-b0e3-b536ad6e7e18.png","[(1124, 877, 1272, 997, 1)]"
"/storage/hpc/group/kazic-lab/NN/malaria/images/4a0a05e1-11ad-4bfc-bfa3-adf3b9bd0b56.png","[(555, 66, 662, 200, 1), (780, 909, 868, 1047, 1), (1328, 193, 1462, 329, 4), (1364, 594, 1475, 721, 4)]"
"/storage/hpc/group/kazic-lab/NN/malaria/images/76b24246-8571-4e7b-8815-b185414a2c51.png","[(1367, 509, 1497, 640, 1), (244, 83, 344, 227, 6), (123, 963, 236, 1136, 6)]"
"/storage/hpc/group/kazic-lab/NN/malaria/images/464055b6-3351-4636-a919-8be9840fb850.png","[(712, 57, 836, 172, 2), (946, 1036, 1057, 1182, 1), (104, 1069, 231, 1200, 3)]"
